Month,Temperature,Humidity,Wind_Speed,Wildfire_Risk,Wildfire Risk 0 to 1 Scale,WFRN,LONG,LAT
13-Mar,-8.203064516,70.46354839,9.31483871,23.61790616,0.590447654,0.388896949,-112.903942,54.856679
13-Apr,-0.760666667,67.269,11.81033333,32.89425303,0.822356326,0.541643046,-112.903942,54.856679
13-May,12.36112903,52.95,11.21419355,47.23985337,1.180996334,0.777860439,-112.903942,54.856679
13-Jun,14.14266667,75.71866667,10.14066667,43.50055455,1.087513864,0.716288431,-112.903942,54.856679
13-Jul,14.96225806,76.92677419,9.111935484,43.23246774,1.080811693,0.711874062,-112.903942,54.856679
13-Aug,15.97064516,78.78225806,7.251290323,42.38260264,1.059565066,0.697880021,-112.903942,54.856679
13-Sep,12.33283333,71.50633333,8.843666667,41.72496818,1.043124204,0.687051287,-112.903942,54.856679
13-Oct,4.022741935,75.49419355,9.566774194,33.91509824,0.847877456,0.558452478,-112.903942,54.856679
13-Nov,-8.963666667,82.84133333,8.929666667,20.16201364,0.504050341,0.331991563,-112.903942,54.856679
13-Dec,-17.36870968,80.49741935,9.71516129,13.57896921,0.33947423,0.223593898,-112.903942,54.856679
14-Jan,-10.38887097,76.26225806,12.0183871,22.49872874,0.562468219,0.37046836,-112.903942,54.856679
14-Feb,-17.30803571,72.46107143,8.887857143,14.62091883,0.365522971,0.240750839,-112.903942,54.856679
14-Mar,-8.521612903,62.98935484,9.514516129,24.97291349,0.624322837,0.411208758,-112.903942,54.856679
14-Apr,2.4275,68.743,11.59,35.33253636,0.883313409,0.581792285,-112.903942,54.856679
14-May,7.951129032,63.06903226,10.86967742,40.94856891,1.023714223,0.674266948,-112.903942,54.856679
14-Jun,13.49816667,75.355,9.351333333,42.39537879,1.05988447,0.698090396,-112.903942,54.856679
14-Jul,17.61516129,75.00096774,8.786451613,45.78524633,1.144631158,0.753908602,-112.903942,54.856679
14-Aug,16.06419355,74.94096774,7.59483871,43.49356598,1.08733915,0.716173356,-112.903942,54.856679
14-Sep,9.854333333,74.70833333,8.892666667,38.86813636,0.971703409,0.640010149,-112.903942,54.856679
14-Oct,5.381935484,73.32903226,10.27032258,36.11142229,0.902785557,0.594617569,-112.903942,54.856679
14-Nov,-9.973,84.58566667,8.580333333,18.63357121,0.46583928,0.306823939,-112.903942,54.856679
14-Dec,-10.70129032,88.86516129,6.477741935,15.53864663,0.388466166,0.25586232,-112.903942,54.856679
15-Jan,-10.81903226,80.29741935,9.327096774,19.28217302,0.482054325,0.31750394,-112.903942,54.856679
15-Feb,-12.27339286,77.9425,9.773928571,18.76613474,0.469153368,0.309006755,-112.903942,54.856679
15-Mar,-0.980483871,70.91032258,10.26935484,30.81042082,0.770260521,0.507330268,-112.903942,54.856679
15-Apr,4.460333333,56.58733333,11.878,39.8277,0.9956925,0.655810507,-112.903942,54.856679
15-May,9.315806452,51.52903226,10.81677419,44.45750733,1.111437683,0.732045798,-112.903942,54.856679
15-Jun,14.4175,64.598,9.844333333,45.75228636,1.143807159,0.753365876,-112.903942,54.856679
15-Jul,17.26016129,65.6583871,11.1583871,49.1099868,1.22774967,0.808654413,-112.903942,54.856679
15-Aug,15.29354839,70.76774194,9.150967742,44.79472141,1.119868035,0.737598429,-112.903942,54.856679
15-Sep,8.889166667,75.90933333,9.656333333,38.32326212,0.958081553,0.631038146,-112.903942,54.856679
15-Oct,5.955,67.73903226,10.61387097,38.00805132,0.950201283,0.625847825,-112.903942,54.856679
15-Nov,-2.8985,78.023,10.22433333,27.61046818,0.690261704,0.454639237,-112.903942,54.856679
15-Dec,-10.17483871,83.90096774,7.555483871,17.81838416,0.445459604,0.293400913,-112.903942,54.856679
16-Jan,-11.13403226,81.75451613,8.151612903,17.82277712,0.445569428,0.293473249,-112.903942,54.856679
16-Feb,-4.65137931,76.6537931,10.96758621,26.84822257,0.671205564,0.442087955,-112.903942,54.856679
16-Mar,-0.842580645,78.08612903,10.37419355,29.57925513,0.739481378,0.487057659,-112.903942,54.856679
16-Apr,5.8445,60.97,12.56366667,40.72375,1.01809375,0.670565037,-112.903942,54.856679
16-May,11.11870968,60.14258065,11.22322581,44.6786393,1.116965983,0.735686999,-112.903942,54.856679
16-Jun,15.0995,68.579,11.08966667,46.51008637,1.162752159,0.765843956,-112.903942,54.856679
16-Jul,16.70741935,75.15741935,8.641935484,44.82034897,1.120508724,0.738020418,-112.903942,54.856679
16-Aug,15.44387097,77.80774194,9.673870968,43.91555572,1.097888893,0.723121919,-112.903942,54.856679
16-Sep,9.929333333,75.57033333,9.739666667,39.39916818,0.984979205,0.64875422,-112.903942,54.856679
16-Oct,0.554516129,87.73774194,8.790967742,27.73160117,0.693290029,0.456633836,-112.903942,54.856679
16-Nov,-0.772,83.69133333,8.418,27.05523333,0.676380833,0.445496634,-112.903942,54.856679
16-Dec,-14.18645161,77.50354839,10.72645161,17.82917302,0.445729326,0.293578565,-112.903942,54.856679
17-Jan,-10.3166129,78.52354839,9.341290323,20.10433725,0.502608431,0.331041853,-112.903942,54.856679
17-Feb,-8.776428571,75.18928571,9.4175,22.22851461,0.555712865,0.366018963,-112.903942,54.856679
17-Mar,-6.55016129,73.69516129,9.940967742,24.94381965,0.623595491,0.410729693,-112.903942,54.856679
17-Apr,2.253,75.774,10.60166667,33.02645,0.82566125,0.543819827,-112.903942,54.856679
17-May,11.31919355,57.73322581,11.34870968,45.43688123,1.135922031,0.748172355,-112.903942,54.856679
17-Jun,14.1995,68.981,10.686,45.30875455,1.132718864,0.746062597,-112.903942,54.856679
17-Jul,16.39387097,74.92677419,8.89483871,44.77111144,1.119277786,0.737209663,-112.903942,54.856679
17-Aug,15.12032258,74.94419355,8.775483871,43.52034018,1.088008504,0.716614225,-112.903942,54.856679
17-Sep,10.45983333,76.009,8.946,39.19845757,0.979961439,0.645449281,-112.903942,54.856679
17-Oct,3.237741935,74.86516129,12.42387097,35.47009091,0.886752273,0.584057284,-112.903942,54.856679
17-Nov,-9.942666667,83.179,10.122,20.0987303,0.502468258,0.330949528,-112.903942,54.856679
17-Dec,-10.19177419,72.52967742,11.23096774,22.83385924,0.570846481,0.375986683,-112.903942,54.856679
18-Jan,-12.92935484,80.76258065,9.177741935,17.15864956,0.428966239,0.282537597,-112.903942,54.856679
18-Feb,-14.7975,72.85392857,11.23,18.58125974,0.464531494,0.305962568,-112.903942,54.856679
18-Mar,-6.774516129,73.51225806,10.16548387,24.94482845,0.623620711,0.410746305,-112.903942,54.856679
18-Apr,-0.090833333,60.365,10.77566667,34.10799243,0.852699811,0.561628711,-112.903942,54.856679
18-May,13.62145161,49.74096774,11.44967742,49.20402053,1.230100513,0.81020279,-112.903942,54.856679
18-Jun,14.60166667,69.26533333,11.053,45.89274394,1.147318599,0.755678678,-112.903942,54.856679
18-Jul,16.48580645,73.07290323,9.07483871,45.36046334,1.134011584,0.746914044,-112.903942,54.856679
18-Aug,15.03451613,76.04,8.609354839,43.09857625,1.077464406,0.709669379,-112.903942,54.856679
18-Sep,5.156,77.50066667,9.114333333,34.20470757,0.855117689,0.563221241,-112.903942,54.856679
18-Oct,2.257903226,70.92870968,9.49,33.16621554,0.829155389,0.546121233,-112.903942,54.856679
18-Nov,-6.034666667,86.98533333,8.541333333,21.70469091,0.542617273,0.357393582,-112.903942,54.856679
18-Dec,-10.20387097,81.71064516,9.108064516,19.3944912,0.48486228,0.319353392,-112.903942,54.856679
19-Jan,-11.28322581,80.06806452,10.5716129,19.83943694,0.495985924,0.326679954,-112.903942,54.856679
19-Feb,-22.1725,72.8675,8.161785714,9.572839285,0.239320982,0.157628198,-112.903942,54.856679
19-Mar,-3.515967742,62.66516129,10.26290323,30.14962904,0.753740726,0.496449544,-112.903942,54.856679
19-Apr,3.913333333,55.777,12.12633333,39.67874394,0.991968598,0.653357768,-112.903942,54.856679
19-May,9.79016129,47.97677419,11.29419355,45.95725513,1.148931378,0.756740931,-112.903942,54.856679
19-Jun,13.78083333,72.63033333,10.453,44.02353182,1.100588295,0.724899874,-112.903942,54.856679
19-Jul,15.58096774,79.63193548,9.095483871,43.24156012,1.081039003,0.712023779,-112.903942,54.856679
19-Aug,13.38419355,79.20258065,9.401290323,41.55971848,1.038992962,0.684330254,-112.903942,54.856679
19-Sep,10.159,79.67233333,9.477333333,38.59080606,0.964770152,0.635443575,-112.903942,54.856679
19-Oct,1.452580645,76.79870968,11.55258065,32.80703959,0.82017599,0.540206973,-112.903942,54.856679
19-Nov,-4.784,83.71533333,9.678666667,24.34866061,0.608716515,0.400929691,-112.903942,54.856679
19-Dec,-10.79306452,82.79322581,8.319354839,18.05081231,0.451270308,0.297228119,-112.903942,54.856679
20-Jan,-15.6916129,79.21258065,9.129032258,14.92097361,0.37302434,0.245691598,-112.903942,54.856679
20-Feb,-8.992586207,72.17931034,10.93586207,23.7727743,0.594319357,0.391447037,-112.903942,54.856679
20-Mar,-8.163064516,69.38935484,11.83032258,25.75572141,0.643893035,0.424098623,-112.903942,54.856679
20-Apr,0.1895,59.33166667,13.23833333,36.41650757,0.910412689,0.599641162,-112.903942,54.856679
20-May,9.754032258,59.83516129,12.12290323,44.1742654,1.104356635,0.727381882,-112.903942,54.856679
20-Jun,13.51183333,75.18533333,10.761,43.49898636,1.087474659,0.716262609,-112.903942,54.856679
20-Jul,16.58483871,77.31,10.08419355,45.36008944,1.134002236,0.746907887,-112.903942,54.856679
20-Aug,15.16177419,72.48064516,11.60064516,46.1696041,1.154240103,0.76023751,-112.903942,54.856679
20-Sep,10.27183333,76.88,10.37366667,39.92409848,0.998102462,0.657397823,-112.903942,54.856679
20-Oct,0.342580645,74.86774194,11.41129032,32.07817448,0.801954362,0.528205341,-112.903942,54.856679
20-Nov,-5.609166667,81.67133333,9.940333333,24.20355909,0.605088977,0.398540422,-112.903942,54.856679
20-Dec,-7.399193548,78.68451613,9.158387097,22.58716569,0.564679142,0.37192458,-112.903942,54.856679
21-Jan,-9.580645161,75.64096774,10.71709677,22.38176979,0.559544245,0.368542492,-112.903942,54.856679
21-Feb,-17.35732143,70.54035714,11.46178571,16.89070292,0.422267573,0.278125537,-112.903942,54.856679
21-Mar,-2.210483871,68.04677419,10.97354839,30.79309384,0.769827346,0.507044958,-112.903942,54.856679
21-Apr,2.801,57.40966667,11.144,37.60424848,0.940106212,0.61919873,-112.903942,54.856679
21-May,9.183548387,60.4016129,11.96354839,43.42283725,1.085570931,0.715008723,-112.903942,54.856679
21-Jun,16.79283333,64.982,11.289,48.9183803,1.222959508,0.805499383,-112.903942,54.856679
21-Jul,17.79112903,68.0083871,10.09903226,48.32816862,1.208204216,0.795780845,-112.903942,54.856679
21-Aug,15.65145161,72.32096774,10.19290323,45.59089443,1.139772361,0.750708366,-112.903942,54.856679
21-Sep,11.38883333,69.512,10.84666667,42.76790303,1.069197576,0.704224451,-112.903942,54.856679
21-Oct,3.836935484,67.65580645,10.81806452,36.25232845,0.906308211,0.596937757,-112.903942,54.856679
21-Nov,-3.912833333,80.76133333,10.01633333,25.9846803,0.649617008,0.427868704,-112.903942,54.856679
21-Dec,-18.48532258,75.64612903,9.873870968,13.65315689,0.341328922,0.224815486,-112.903942,54.856679
22-Jan,-13.35354839,78.96129032,10.72774194,18.29577713,0.457394428,0.301261757,-112.903942,54.856679
22-Feb,-12.24571429,75.11035714,11.43285714,20.60192207,0.515048052,0.33923518,-112.903942,54.856679
22-Mar,-4.654516129,70.96645161,12.11580645,28.8440044,0.72110011,0.47495088,-112.903942,54.856679
22-Apr,1.3235,63.45666667,13.42766667,36.76441667,0.919110417,0.605369899,-112.903942,54.856679
22-May,8.829354839,61.86225806,12.29870968,43.06008505,1.076502126,0.709035576,-112.903942,54.856679
22-Jun,14.5245,68.77033333,10.54233333,45.53859242,1.138464811,0.749847151,-112.903942,54.856679
22-Jul,16.80209677,73.92258065,9.303225806,45.64935483,1.141233871,0.751670986,-112.903942,54.856679
22-Aug,17.53193548,74.87935484,8.825483871,45.76318328,1.144079582,0.753545307,-112.903942,54.856679
22-Sep,12.72433333,72.05466667,9.164,42.2114606,1.055286515,0.695061964,-112.903942,54.856679
22-Oct,6.989032258,65.89967742,10.65580645,39.34740322,0.983685081,0.647901849,-112.903942,54.856679
22-Nov,-7.492833333,77.37,11.241,24.32690152,0.608172538,0.400571402,-112.903942,54.856679
22-Dec,-18.59322581,80.39129032,8.610967742,11.65885337,0.291471334,0.191976904,-112.903942,54.856679
23-Jan,-9.089516129,86.41677419,8.099677419,18.71002493,0.467750623,0.30808284,-112.903942,54.856679
23-Feb,-10.52875,72.58107143,9.880357143,21.50428084,0.537607021,0.354093591,-112.903942,54.856679
23-Mar,-7.806129032,68.64580645,9.110645161,24.18915982,0.604728996,0.398303321,-112.903942,54.856679
23-Apr,3.830333333,60.63366667,11.377,38.06995606,0.951748901,0.62686716,-112.903942,54.856679
23-May,14.73548387,58.55258065,11.03451613,48.14308358,1.203577089,0.7927332,-112.903942,54.856679
23-Jun,16.08016667,70.479,10.16166667,46.32560152,1.158140038,0.762806193,-112.903942,54.856679
23-Jul,16.68,78.26193548,8.789677419,44.28532551,1.107133138,0.729210619,-112.903942,54.856679
23-Aug,16.17693548,79.74096774,8.515806452,43.32678445,1.083169611,0.713427099,-112.903942,54.856679
23-Sep,11.4085,72.87233333,8.796666667,40.57621515,1.014405379,0.6681357,-112.903942,54.856679
23-Oct,3.981129032,73.36580645,10.83612903,35.25496188,0.881374047,0.580514929,-112.903942,54.856679
23-Nov,-1.470333333,78.074,10.17,28.85785152,0.721446288,0.475178889,-112.903942,54.856679
23-Dec,-5.070645161,78.48193548,8.389677419,24.16801173,0.604200293,0.397955092,-112.903942,54.856679
24-Jan,-15.26129032,78.78193548,7.712258065,14.33572434,0.358393109,0.236054772,-112.903942,54.856679
24-Feb,-6.936206897,70.7162069,9.365172414,24.75681348,0.618920337,0.407650414,-112.903942,54.856679
24-Mar,-6.000645161,65.47774194,11.68516129,28.3950088,0.70987522,0.467557632,-112.903942,54.856679
24-Apr,4.409166667,54.296,12.665,40.82970152,1.020742538,0.672309655,-112.903942,54.856679
24-May,9.490322581,65.83741935,12.08193548,42.7033519,1.067583798,0.70316154,-112.903942,54.856679
24-Jun,12.25316667,68.54733333,12.066,44.66109394,1.116527349,0.735398094,-112.903942,54.856679
24-Jul,18.84725806,71.74258065,9.608387097,48.17346334,1.204336583,0.793233439,-112.903942,54.856679
24-Aug,15.99612903,75.22709677,9.11516129,44.51470528,1.112867632,0.73298763,-112.903942,54.856679
24-Sep,12.90416667,71.76633333,9.003666667,42.31236213,1.057809053,0.696723428,-112.903942,54.856679
24-Oct,4.301935484,74.67709677,10.22516129,34.82612024,0.870653006,0.57345354,-112.903942,54.856679
24-Nov,-6.356166667,82.64533333,8.692666667,22.39391818,0.559847955,0.368742529,-112.903942,54.856679
24-Dec,-10.07467742,83.37387097,9.171290323,19.22671408,0.480667852,0.316590742,-112.903942,54.856679
10-Jan,,,,,0.0,0.0,-114.685006,59.21994
10-Feb,,,,,0.0,0.0,-114.685006,59.21994
10-Mar,,,,,0.0,0.0,-114.685006,59.21994
10-Apr,,,,,0.0,0.0,-114.685006,59.21994
10-May,,,,,0.0,0.0,-114.685006,59.21994
10-Jun,,,,,0.0,0.0,-114.685006,59.21994
10-Jul,,,,,0.0,0.0,-114.685006,59.21994
10-Aug,,,,,0.0,0.0,-114.685006,59.21994
10-Sep,,,,,0.0,0.0,-114.685006,59.21994
10-Oct,,,,,0.0,0.0,-114.685006,59.21994
10-Nov,,,,,0.0,0.0,-114.685006,59.21994
10-Dec,,,,,0.0,0.0,-114.685006,59.21994
11-Jan,,,,,0.0,0.0,-114.685006,59.21994
11-Feb,,,,,0.0,0.0,-114.685006,59.21994
11-Mar,,,,,0.0,0.0,-114.685006,59.21994
11-Apr,,,,,0.0,0.0,-114.685006,59.21994
11-May,,,,,0.0,0.0,-114.685006,59.21994
11-Jun,,,,,0.0,0.0,-114.685006,59.21994
11-Jul,,,,,0.0,0.0,-114.685006,59.21994
11-Aug,,,,,0.0,0.0,-114.685006,59.21994
11-Sep,,,,,0.0,0.0,-114.685006,59.21994
11-Oct,,,,,0.0,0.0,-114.685006,59.21994
11-Nov,,,,,0.0,0.0,-114.685006,59.21994
11-Dec,,,,,0.0,0.0,-114.685006,59.21994
12-Jan,-16.22951613,88.59935484,10.72354839,13.75050293,0.343762573,0.226418405,-114.685006,59.21994
12-Feb,-9.829482759,77.39448276,12.26689655,22.96720063,0.574180016,0.378182308,-114.685006,59.21994
12-Mar,,,,,0.0,0.0,-114.685006,59.21994
12-Apr,-2.0665,66.65433333,14.245,33.65606515,0.841401629,0.55418719,-114.685006,59.21994
12-May,8.112741935,56.80322581,13.49677419,44.3189736,1.10797434,0.729764675,-114.685006,59.21994
12-Jun,12.1395,75.81766667,12.67033333,43.55694394,1.088923598,0.717216949,-114.685006,59.21994
12-Jul,17.2133871,62.84,11.42870968,49.83388417,1.245847104,0.820574245,-114.685006,59.21994
12-Aug,12.61258065,73.31709677,13.29258065,44.95381672,1.123845418,0.740218123,-114.685006,59.21994
12-Sep,-0.507333333,72.28333333,14.20533333,33.91793939,0.847948485,0.558499261,-114.685006,59.21994
12-Oct,-6.586774194,92.44225806,9.810645161,21.0633739,0.526584348,0.346833533,-114.685006,59.21994
12-Nov,,,,,0.0,0.0,-114.685006,59.21994
12-Dec,-16.87080645,,,,0.0,0.0,-114.685006,59.21994
13-Jan,-20.22548387,91.87806452,2.021612903,2.935611437,0.073390286,0.048338338,-114.685006,59.21994
13-Feb,-12.605,91.89785714,6.787857143,13.4340487,0.335851218,0.221207609,-114.685006,59.21994
13-Mar,,,,,0.0,0.0,-114.685006,59.21994
13-Apr,,,,,0.0,0.0,-114.685006,59.21994
13-May,,,,,0.0,0.0,-114.685006,59.21994
13-Jun,13.94966667,68.16533333,12.29666667,46.45276667,1.161319167,0.764900119,-114.685006,59.21994
13-Jul,13.32064516,65.25548387,13.04032258,47.02064076,1.175516019,0.774250842,-114.685006,59.21994
13-Aug,13.84693548,73.77419355,11.24870968,44.4516349,1.111290872,0.731949101,-114.685006,59.21994
13-Sep,10.17633333,72.85366667,13.62333333,43.07979696,1.076994924,0.709360156,-114.685006,59.21994
13-Oct,0.686774194,84.58451613,12.83935484,31.51877126,0.787969282,0.518994101,-114.685006,59.21994
13-Nov,-12.8245,80.78266667,9.039666667,17.14639848,0.428659962,0.282335869,-114.685006,59.21994
13-Dec,-23.73467742,72.68806452,4.755483871,5.633838708,0.140845968,0.092767863,-114.685006,59.21994
14-Jan,-16.77387097,79.09451613,9.233225806,14.0388607,0.350971518,0.231166559,-114.685006,59.21994
14-Feb,,,,,0.0,0.0,-114.685006,59.21994
14-Mar,-13.7916129,66.27032258,12.28258065,21.60185924,0.540046481,0.355700336,-114.685006,59.21994
14-Apr,-3.365166667,63.90533333,13.85733333,32.73450909,0.818362727,0.539012672,-114.685006,59.21994
14-May,4.447580645,63.1016129,13.26193548,39.55120234,0.988780059,0.651257644,-114.685006,59.21994
14-Jun,13.18133333,59.94266667,11.77566667,47.00806515,1.175201629,0.77404377,-114.685006,59.21994
14-Jul,16.70241935,68.99064516,11.73451613,48.36859384,1.209214846,0.796446495,-114.685006,59.21994
14-Aug,13.84193548,67.80967742,12.03,46.22596041,1.15564901,0.761165484,-114.685006,59.21994
14-Sep,6.509333333,77.29466667,12.95633333,38.3577106,0.958942765,0.631605381,-114.685006,59.21994
14-Oct,0.396129032,90.30774194,11.34548387,28.9895,0.7247375,0.477346638,-114.685006,59.21994
14-Nov,-14.05966667,79.85033333,7.513333333,15.06523636,0.376630909,0.248067056,-114.685006,59.21994
14-Dec,-13.66387097,80.85677419,8.040645161,15.61924633,0.390481158,0.25718949,-114.685006,59.21994
15-Jan,-15.96903226,79.62322581,11.18967742,16.13212903,0.403303226,0.265634715,-114.685006,59.21994
15-Feb,-19.20517857,75.89857143,12.67892857,15.05204708,0.376301177,0.247849879,-114.685006,59.21994
15-Mar,-8.013709677,69.79096774,12.25225806,26.12762756,0.653190689,0.4302225,-114.685006,59.21994
15-Apr,0.7535,50.414,14.18066667,39.41951818,0.985487955,0.649089307,-114.685006,59.21994
15-May,8.290806452,44.39032258,11.64,45.57085044,1.139271261,0.750378318,-114.685006,59.21994
15-Jun,13.14316667,62.78833333,12.53866667,46.97648485,1.174412121,0.773523762,-114.685006,59.21994
15-Jul,14.04274194,78.27,11.38903226,43.83572141,1.095893035,0.721807352,-114.685006,59.21994
15-Aug,12.58209677,76.53580645,13.25354839,44.25308798,1.106327199,0.72867979,-114.685006,59.21994
15-Sep,6.3755,79.305,13.555,38.28297727,0.957074432,0.630374808,-114.685006,59.21994
15-Oct,0.332580645,88.01709677,12.20741935,30.03630938,0.750907735,0.494583601,-114.685006,59.21994
15-Nov,-7.9155,85.29666667,7.923666667,19.86932576,0.496733144,0.327172109,-114.685006,59.21994
15-Dec,-13.63451613,86.55451613,4.317096774,11.71372287,0.292843072,0.192880396,-114.685006,59.21994
16-Jan,-13.11548387,83.63677419,7.954516129,15.49718329,0.387429582,0.255179577,-114.685006,59.21994
16-Feb,-13.31586207,81.99,7.524482759,15.3218511,0.383046277,0.252292524,-114.685006,59.21994
16-Mar,-7.327580645,77.11064516,9.694516129,23.3691393,0.584228482,0.384800706,-114.685006,59.21994
16-Apr,-0.837,65.75366667,13.60833333,34.47642575,0.861910644,0.567695404,-114.685006,59.21994
16-May,8.297258065,67.6383871,11.97935484,41.18161877,1.029540469,0.678104392,-114.685006,59.21994
16-Jun,13.43083333,70.977,11.91366667,45.13151667,1.128287917,0.743144164,-114.685006,59.21994
16-Jul,14.91935484,78.07870968,10.2,43.7791261,1.094478153,0.720875443,-114.685006,59.21994
16-Aug,13.13241935,80.81290323,11.54806452,42.61884897,1.065471224,0.701770099,-114.685006,59.21994
16-Sep,7.0405,83.76,14.17733333,38.46327272,0.961581818,0.633343587,-114.685006,59.21994
16-Oct,-2.948387097,93.90967742,6.745483871,21.77864369,0.544466092,0.358611302,-114.685006,59.21994
16-Nov,-5.225833333,83.75833333,8.985666667,23.41864394,0.585466099,0.385615859,-114.685006,59.21994
16-Dec,-18.58387097,80.12935484,6.438709677,10.09055132,0.252263783,0.166152943,-114.685006,59.21994
17-Jan,-13.07467742,80.55129032,10.66451613,18.18387683,0.454596921,0.299419185,-114.685006,59.21994
17-Feb,-14.67446429,77.53392857,7.748571429,15.14603896,0.378650974,0.249397567,-114.685006,59.21994
17-Mar,,,,,0.0,0.0,-114.685006,59.21994
17-Apr,-1.516166667,55.02933333,12.13833333,34.90136818,0.872534204,0.574692587,-114.685006,59.21994
17-May,8.539677419,60.2416129,13.31806452,43.8853871,1.097134678,0.722625157,-114.685006,59.21994
17-Jun,11.97716667,66.15,11.015,44.10140152,1.102535038,0.726182092,-114.685006,59.21994
17-Jul,14.97258065,69.74645161,10.46258065,45.6909003,1.142272508,0.752355082,-114.685006,59.21994
17-Aug,14.43725806,65.96354839,11.89483871,47.03501759,1.17587544,0.774487574,-114.685006,59.21994
17-Sep,9.3875,71.594,11.968,41.37310909,1.034327727,0.681257508,-114.685006,59.21994
17-Oct,-0.994032258,86.92935484,12.09225806,28.96147507,0.724036877,0.476885174,-114.685006,59.21994
17-Nov,-15.49966667,82.28566667,8.835,14.26032878,0.35650822,0.234813294,-114.685006,59.21994
17-Dec,-14.02725806,78.88677419,11.24612903,18.08700733,0.452175183,0.297824114,-114.685006,59.21994
18-Jan,-16.14048387,76.42032258,8.238709677,14.40361877,0.360090469,0.237172735,-114.685006,59.21994
18-Feb,-19.08517857,73.42642857,14.46785714,16.99726299,0.424931575,0.279880175,-114.685006,59.21994
